,epoch,accuracy,loss
0,1,60.12,97.47517454624176
1,2,68.92,75.83754914999008
2,3,73.7,63.71696960926056
3,4,68.39,56.72374638915062
4,5,74.47,51.586544156074524
5,6,76.53,48.38021871447563
6,7,80.43,44.36838364601135
7,8,75.75,42.116346657276154
8,9,79.46,40.07501462101936
9,10,78.84,38.903001755476
10,11,79.57,36.81113564968109
11,12,80.7,35.514422327280045
12,13,82.33,34.58074304461479
13,14,81.8,33.798733592033386
14,15,87.53999999999999,26.32443931698799
15,16,87.81,23.8378047645092
16,17,87.72999999999999,22.84744481742382
17,18,88.0,21.98259426653385
18,19,88.08,21.106877267360687
19,20,88.02,20.77431906759739
20,21,88.18,20.19896101951599
21,22,87.91,19.86195495724678
22,23,87.92999999999999,19.681475207209587
23,24,88.53999999999999,18.78934644162655
24,25,88.48,18.41543559730053
25,26,88.46000000000001,18.34405578672886
26,27,88.63,18.51789216697216
27,28,88.63,18.133661456406116
28,29,88.51,18.322786808013916
29,30,88.59,18.25556853413582
